Investor Name;Investor Name URL;Number of Investments;Number of Exited Companies;Location;Investor Type;Description;Website;Twitter;Facebook;LinkedIn;Number of Portfolio Companies;Number of Lead Investments;Program Duration;Next Application Deadline;Program Type
Venture Frogs;https://www.crunchbase.com/organization/venture-frogs;3;2;San Francisco, California, United States;Venture Capital;Venture Frogs was formed by two members of the founding team of LinkExchange (acquired by Microsoft for $265 million in November 1998).;http://www.vfrogs.com;;;;3;1;;;
Venture Farm;https://www.crunchbase.com/organization/venture-farm;1;;Irvine, California, United States;Micro VC;We are an equity funding source that adds hands-on experience to the execution process without taking majority equity position.;http://www.venturefarm.com;;;;1;;;;
Venture Catalyst;https://www.crunchbase.com/organization/venture-catlyst;;;San Diego, California, United States;Venture Capital;Venture Catalyst is in the business of providing cutting edge venture services, incubator facilities, strategic solutions.;http://www.vencat.com/;;;;;;;;
Venture Capital College of America;https://www.crunchbase.com/organization/venture-capital-college-of-america;;;Santa Clara, California, United States;Venture Capital;US-China hub of innovation and entrepreneurship;http://www.usavcc.com/;;;;;;;;
venture / science;https://www.crunchbase.com/organization/palo-alto-venture-science;6;1;San Francisco, California, United States;Micro VC;Venture Capital firm with economic modeling at the heart of its investment strategy;http://www.venture-science.com;http://twitter.com/Venture_Science;;;6;;;;
Ventek Ventures;https://www.crunchbase.com/organization/ventekventures;2;;Los Angeles, California, United States;Venture Capital;Ventek Ventures is an early stage venture capital firm focusing on the US, China and Southeast Asia.;http://www.ventek.vc;;;https://www.linkedin.com/company/ventek-vc;2;1;;;
Ventana Capital Partners;https://www.crunchbase.com/organization/ventana-capital;2;;La Jolla, California, United States;Venture Capital;Ventana Capital Partners offers venture capital primarily to high-growth companies.;;;;;2;;;;
Ventana Capital Management;https://www.crunchbase.com/organization/ventana-capital-management;2;1;Rancho Santa Margarita, California, United States;Venture Capital;Ventana Capital Management is a Venture Capital & Private Equity firm specializing in startup investments.;http://www.ventanavc.com;http://twitter.com/ThomasOGephart;;http://www.linkedin.com/in/thomasogephart;2;1;;;
Venrock;https://www.crunchbase.com/organization/venrock;494;128;Palo Alto, California, United States;Venture Capital;Venrock is a venture capital firm investing in technology and healthcare companies.;http://www.venrock.com;http://twitter.com/Venrock;http://www.facebook.com/venrock;http://www.linkedin.com/company/venrock;254;146;;;
VenGlobal Capital;https://www.crunchbase.com/organization/venglobal-capital;6;4;Cupertino, California, United States;Venture Capital;VenGlobal Capital Fund's strategy is to invest in early-stage companies that have seasoned management teams, well-defined market;http://www.venglobal.com;;;;5;1;;;
VenCraft;https://www.crunchbase.com/organization/vencraft;1;;San Mateo, California, United States;Venture Capital;VenCraft are a private venture capital partnership providing initial and early stage financing for software start-up companies.;http://www.vencraft.com/;;;;1;;;;
venBio Partners;https://www.crunchbase.com/organization/venbio;17;7;San Francisco, California, United States;Private Equity Firm;venBio is a life sciences investment firm that partners with industry leaders to build game-changing medicines and technologies.;http://venbio.com;;;;15;7;;;
Velos Partners;https://www.crunchbase.com/organization/velos-partners;24;;Los Angeles, California, United States;Venture Capital;Velos Partners is a consumer growth capital firm investing in retail innovation, health & wellness, and luxury & entertainment.;http://www.velospartners.com;http://twitter.com/VelosPartners;;http://www.linkedin.com/company/velos-partners;18;4;;;
Velocity Venture Capital;https://www.crunchbase.com/organization/velocity-capital;10;2;El Dorado Hills, California, United States;Venture Capital;Velocity Venture focuses on technology-driven startups, investing primarily in seed and early series rounds.;http://www.velocityvc.com;http://twitter.com/JackCrawfordJr;http://www.facebook.com/EntrepreneursShowcase;http://www.linkedin.com/company/3773551;9;2;;;
Velocity Capital Management;https://www.crunchbase.com/organization/velocity-capital-management;1;;Palo Alto, California, United States;Venture Capital;Velocity Capital Management is the Investment Advisor to the Velocity Technology and Communications Fund, an offshore Delaware Business.;http://www.velcap.com/;;;;1;;;;
Vector Capital;https://www.crunchbase.com/organization/vector-capital;6;;San Francisco, California, United States;Private Equity Firm;A leading global private equity firm specializing in transformational investments in established technology businesses.;http://vectorcapital.com/;;;https://www.linkedin.com/company/43466?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A43466%2Cidx%3A2-1-4%2CtarId%3A1442589542109%2Ctas%3AVector%20Capital;6;2;;;
Vectis Group;https://www.crunchbase.com/organization/vectis-group;;;Mill Valley, California, United States;Venture Capital;Vectis Group is a venture capital investment firm specializing in start up financing.;http://www;;;;;;;;
VC Task Force;https://www.crunchbase.com/organization/vc-task-force;;;Palo Alto, California, United States;Micro VC;VC Taskforceâ„¢ has built an organization that the venture community can give input and direction to and get immediate results that benefit;http://vctaskforce.com;http://twitter.com/vctaskforce;http://www.facebook.com/vctaskforce;;;;;;
Vaughan Capital Advisors;https://www.crunchbase.com/organization/vaughan-capital-advisors;;;Los Angeles, California, United States;Venture Capital;Vaughan Capital Advisors (â€œVCAâ€ù) is a middle-market transaction advisory firm.;http://vcapadvisors.com/;;;;;;;;
VantagePoint Capital Partners;https://www.crunchbase.com/organization/vantagepoint-capital-partners;241;71;San Bruno, California, United States;Venture Capital;VantagePoint Capital Partners (formerly VantagePoint Venture Partners, until 2011) has more than $4.5 billion in capital under management;http://www.vpcp.com;http://twitter.com/VPVP;;;149;91;;;
Vanguard Ventures;https://www.crunchbase.com/organization/vanguard-ventures;50;16;San Jose, California, United States;Venture Capital;Vanguard Ventures is a leading early stage venture capital firm that helps entrepreneurs build pioneering technology and life science;http://www.vanguardventures.com;;;;29;9;;;
Van Wagoner Capital Management;https://www.crunchbase.com/organization/van-wagoner-capital-management;34;16;San Francisco, California, United States;Venture Capital;Van Wagoner Capital Management Inc. is an employee owned investment manager.;http://www.vanwagoner.com/;;;;28;13;;;
ValueAct Capital;https://www.crunchbase.com/organization/valueact-capital;4;3;San Francisco, California, United States;Private Equity Firm;When ValueAct Capital Partners sees untapped value, it acts. The firm, known for its activist slant, buys large stakes in undervalued;http://www.valueact.com;;;;4;3;;;
Valley Angel Investment Fund;https://www.crunchbase.com/organization/valley-angel-investment-fund;;;San Francisco, California, United States;Angel Group;Valley Angel Investment Fund is an angel investment group which able to share prospective deals.;http://valleyangelinvestmentfund.weebly.com;https://www.twitter.com/weebly;https://www.facebook.com/weebly;;;;;;
Valesco Ventures;https://www.crunchbase.com/organization/valesco-ventures;;;Menlo Park, California, United States;Micro VC;At Valesco Ventures we uniquely combine capital investment and hands on management services with a key focus on Sales Execution;http://www.valesco.ventures;;;;;;;;
v1 vc;https://www.crunchbase.com/organization/v1-vc;3;;San Francisco, California, United States;Venture Capital;V1 Vc is a private investment company that offers funds that allow entrepreneurs to develop new ideas.;http://www.v1.vc;;;;2;;;;
UTA Ventures;https://www.crunchbase.com/organization/uta-ventures;1;;Beverly Hills, California, United States;Corporate Venture Capital;UTA Ventures is the venture capital arm of United Talent Agency and is based in Beverly Hills, CA.;http://www.unitedtalent.com/;;;;1;;;;
US Renewables;https://www.crunchbase.com/organization/us-renewables;9;1;Santa Monica, California, United States;Private Equity Firm;US Renewables is an investment firm focused on the renewable energy industry.;http://www.usregroup.com;;;;5;3;;;
US Capital Partners;https://www.crunchbase.com/organization/us-capital-partners;;;San Francisco, California, United States;Private Equity Firm;US Capital Partners is an investment firm focused on debt and equity for mid-market companies.;http://www.uscapitalpartners.net/;https://www.twitter.com/uscapitalsf;https://www.facebook.com/uscapitalpartners;https://www.linkedin.com/company/967249;;;;;
Upstart Capital;https://www.crunchbase.com/organization/upstart-capital;6;1;Palo Alto, California, United States;Venture Capital;Upstart Capital is a financial organization. Nothing is publicly known about the organization. If you have more information, please update;http://upstartcap.com;;;;5;3;;;
Upside Partnership;https://www.crunchbase.com/organization/upside-partnership;13;;Mill Valley, California, United States;Angel Group;Upside Partnership is a true seed-stage investment firm building a portfolio of purpose-built founders creating high-profile companies;http://upsidevc.com/;https://twitter.com/upsidevc;;;10;;;;
Upfront Ventures;https://www.crunchbase.com/organization/upfront-ventures;206;32;Santa Monica, California, United States;Venture Capital;Upfront invest in businesses that are technology led.;http://upfront.com;http://twitter.com/upfrontvc;http://www.facebook.com/upfrontvc;https://www.linkedin.com/company/upfront-ventures;128;72;;;
UP2398;https://www.crunchbase.com/organization/up2398;7;;Redwood City, California, United States;Venture Capital;Investor for seed-stage startups;http://www.up2398.com/up2398/;;;https://www.linkedin.com/company/up2398;7;3;;;
Unshackled Ventures;https://www.crunchbase.com/organization/unshackled-ventur;2;;Palo Alto, California, United States;Venture Capital;Unshackled Ventures is an early stage venture capital fund created in 2014 to support foreign-born entrepreneurs.;http://unshackledvc.com/;http://twitter.com/UnshackledUS;;http://www.linkedin.com/company/unshackled;2;;;;
United+;https://www.crunchbase.com/organization/united-2;;;Los Angeles, California, United States;Venture Capital;United+ is a global venture network of investors and venture builders that contribute to the advancement of the venture studio model.;http://www.unitedplus.net;;;;;;;;
